Title
Annual Visitation and Record Year by Park (1904 - Last Calendar Year)

RegionName,ParkName,ParkType,Year,TRV
Northeast  Region,Acadia NP,National Park,2024,"3,961,661"
Northeast  Region,Acadia NP,National Park,2023,"3,879,890"
Northeast  Region,Acadia NP,National Park,2022,"3,970,260"
Northeast  Region,Acadia NP,National Park,2021,"4,069,098"
Northeast  Region,Acadia NP,National Park,2020,"2,669,034"
Northeast  Region,Acadia NP,National Park,2019,"3,437,286"
Northeast  Region,Acadia NP,National Park,2018,"3,537,575"
Northeast  Region,Acadia NP,National Park,2017,"3,509,271"
Northeast  Region,Acadia NP,National Park,2016,"3,303,393"
Northeast  Region,Acadia NP,National Park,2015,"2,811,184"
Northeast  Region,Acadia NP,National Park,2014,"2,563,129"
Northeast  Region,Acadia NP,National Park,2013,"2,254,922"
Northeast  Region,Acadia NP,National Park,2012,"2,431,052"
Northeast  Region,Acadia NP,National Park,2011,"2,374,645"
Northeast  Region,Acadia NP,National Park,2010,"2,504,208"
Northeast  Region,Acadia NP,National Park,2009,"2,227,698"
Northeast  Region,Acadia NP,National Park,2008,"2,075,857"
Northeast  Region,Acadia NP,National Park,2007,"2,202,228"
Northeast  Region,Acadia NP,National Park,2006,"2,083,588"
Northeast  Region,Acadia NP,National Park,2005,"2,051,484"
Northeast  Region,Acadia NP,National Park,2004,"2,207,847"
Northeast  Region,Acadia NP,National Park,2003,"2,431,062"
Northeast  Region,Acadia NP,National Park,2002,"2,558,572"
Northeast  Region,Acadia NP,National Park,2001,"2,516,551"
Northeast  Region,Acadia NP,National Park,2000,"2,469,238"
Northeast  Region,Acadia NP,National Park,1999,"2,602,227"
Northeast  Region,Acadia NP,National Park,1998,"2,594,497"
Northeast  Region,Acadia NP,National Park,1997,"2,760,306"
Northeast  Region,Acadia NP,National Park,1996,"2,704,831"
Northeast  Region,Acadia NP,National Park,1995,"2,845,378"
Northeast  Region,Acadia NP,National Park,1994,"2,710,749"
Northeast  Region,Acadia NP,National Park,1993,"2,656,034"
Northeast  Region,Acadia NP,National Park,1992,"2,382,113"
Northeast  Region,Acadia NP,National Park,1991,"2,475,857"
Northeast  Region,Acadia NP,National Park,1990,"2,339,591"
Northeast  Region,Acadia NP,National Park,1989,"5,440,952"
Northeast  Region,Acadia NP,National Park,1988,"4,502,283"
Northeast  Region,Acadia NP,National Park,1987,"4,288,154"
Northeast  Region,Acadia NP,National Park,1986,"3,929,054"
Northeast  Region,Acadia NP,National Park,1985,"3,745,570"
Northeast  Region,Acadia NP,National Park,1984,"3,734,763"
Northeast  Region,Acadia NP,National Park,1983,"4,124,639"
Northeast  Region,Acadia NP,National Park,1982,"3,572,114"
Northeast  Region,Acadia NP,National Park,1981,"2,997,972"
Northeast  Region,Acadia NP,National Park,1980,"2,779,666"
Northeast  Region,Acadia NP,National Park,1979,"2,787,366"
Northeast  Region,Acadia NP,National Park,1978,"2,684,933"
Northeast  Region,Acadia NP,National Park,1977,"2,734,600"
Northeast  Region,Acadia NP,National Park,1976,"2,353,300"
Northeast  Region,Acadia NP,National Park,1975,"2,380,500"
Northeast  Region,Acadia NP,National Park,1974,"2,335,800"
Northeast  Region,Acadia NP,National Park,1973,"2,394,000"
Northeast  Region,Acadia NP,National Park,1972,"2,285,881"
Northeast  Region,Acadia NP,National Park,1971,"2,101,100"
Northeast  Region,Acadia NP,National Park,1970,"2,776,300"
Northeast  Region,Acadia NP,National Park,1969,"2,489,800"
Northeast  Region,Acadia NP,National Park,1968,"2,303,300"
Northeast  Region,Acadia NP,National Park,1967,"2,102,000"
Northeast  Region,Acadia NP,National Park,1966,"2,158,400"
Northeast  Region,Acadia NP,National Park,1965,"1,733,600"
Northeast  Region,Acadia NP,National Park,1964,"2,011,600"
Northeast  Region,Acadia NP,National Park,1963,"1,864,800"
Northeast  Region,Acadia NP,National Park,1962,"1,601,500"
Northeast  Region,Acadia NP,National Park,1961,"1,574,600"
Northeast  Region,Acadia NP,National Park,1960,"1,638,200"
Northeast  Region,Acadia NP,National Park,1959,"755,900"
Northeast  Region,Acadia NP,National Park,1958,"816,500"
